frame_num,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
90,6.0,[994.4153669327286 1348.5561804148394 1686.6831186381476 1885.6023906420444],[1229.110107421875 1685.361083984375 1427.8165283203125 1772.9664306640625],0.56866854429245,GX15OGJ,0.4057264279205074
91,6.0,[993.0580541567144 1353.5355036766227 1686.3435657603839 1893.1366487422033],[1231.16357421875 1692.3240966796875 1435.7938232421875 1782.9276123046875],0.5943871736526489,CX15OCJ,0.469314035158177
92,6.0,[985.5025640837387 1361.2698107917295 1685.6881167303234 1901.1565760636345],[1224.4593505859375 1692.90966796875 1398.9229736328125 1781.025146484375],0.4856199026107788,CX15OCJ,0.19469585725648197
93,6.0,[979.0732071533397 1366.1686111823867 1685.3070734292155 1907.3951646551366],[1227.27734375 1701.412353515625 1435.8681640625 1794.30615234375],0.5092748999595642,GX15OCJ,0.29127945296805935
94,6.0,[976.598199044724 1367.5754190976527 1686.8700837836018 1910.3288067320627],[1226.1119384765625 1710.541748046875 1412.11279296875 1793.1065673828125],0.4211518168449402,GX15OGJ,0.47463259730018376
95,6.0,[971.5249353000086 1371.8433883294574 1684.3359211913944 1919.0182255034783],[1223.6357421875 1716.8431396484375 1426.3551025390625 1802.43212890625],0.582216203212738,GX15OGJ,0.2395365682386516
96,6.0,[969.2307447077403 1379.2354699058956 1683.28064096719 1929.0709042296016],[1217.3697509765625 1728.62841796875 1433.4193115234375 1813.4520263671875],0.5468127131462097,GX15OGJ,0.326974891280107
97,6.0,[964.6503142444315 1383.1693300725296 1681.838192852096 1936.3738224728272],[1214.8228759765625 1732.3773193359375 1426.682861328125 1813.5355224609375],0.5870848894119263,GX15OGJ,0.6641740616719246
98,6.0,[961.8554732943269 1391.3426725266013 1681.1484810061781 1946.3738948575683],[1220.805908203125 1741.981689453125 1421.3272705078125 1827.442138671875],0.6389994025230408,CX15OGJ,0.19902553966187617
99,6.0,[957.1100283104838 1399.1514164485513 1679.4339014894676 1957.7362740193514],[1207.9146728515625 1751.7213134765625 1425.743896484375 1838.0093994140625],0.44287917017936707,GX15OGJ,0.34010299307212094
100,6.0,[955.2608947889106 1406.4126003070542 1676.8353649666765 1964.211041378574],[1198.587158203125 1746.281982421875 1422.23583984375 1836.5302734375],0.5682806372642517,GX15OGJ,0.3017662145350126
